Object ID,Organization Name,LIONS ID,Borough Name,Approved On Street,Approved From Street,Approved To Street,Review Status,apprDaysWe,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,apprStartD,Shape_STLe,apprEndDat,School,the Geom
1,Intermediate School 7,1367,StatenIsland,IRVINGTON STREET,EDITH AVENUE,HYLAN BOULEVARD,approvedFull,"mon,tue,wed,thu,fri",07:45,16:00,07:45,16:00,07:45,16:00,07:45,16:00,07:45,16:00,,,,,2021-07-01T00:00:00,658.299332641,08/30/2021 12:00:00 AM,,"MULTILINESTRING ((932200.5397827178 130088.98823164403, 932514.4764908105 129510.36766973138))"
2,Van Duzer St Area Civic Association Inc,8698,StatenIsland,WATER STREET,CANAL STREET,BAY STREET,approvedFull,sat,,,,,,,,,,,11:00,17:00,,,2021-09-04T00:00:00,121.898711189,10/02/2021 12:00:00 AM,no,"MULTILINESTRING ((963169.1038297266 167781.91579839587, 963047.6211330593 167771.85348255932))"
3,Dimtrios and Georgia Kaloidis School,9213,Brooklyn,RIDGE BOULEVARD,85th STREET,86th STREET,approvedFull,"mon,tue,wed,thu,fri",09:30,14:00,09:00,14:00,09:30,14:00,09:30,14:00,09:30,14:00,,,,,2021-10-04T00:00:00,330.824058696,06/24/2022 12:00:00 AM,yes,"MULTILINESTRING ((974980.395823881 166973.40199548006, 974882.9045490474 166657.2690975666))"
4,Bay Ridge 5th Avenue Business Improvement District,9432,Brooklyn,5th AVENUE,81st STREET,82 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-09-24T00:00:00,278.018327813,10/29/2021 12:00:00 AM,no,"MULTILINESTRING ((977462.7688118815 167002.3310714811, 977378.9891238064 166737.23645730317))"
5,Bay Ridge 5th Avenue BID,9448,Brooklyn,5 AVENUE,BAY RIDGE PARKWAY,77 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,299.594045876,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((977965.8977268934 168619.0177987218, 977876.5507927239 168333.05675648153))"
6,Van Duzer Street Civic Association,8610,StatenIsland,VAN DUZER STREET,BEACH STREET,WRIGHT STREET,approvedFull,sat,,,,,,,,,,,11:00,17:00,,,2021-06-05T00:00:00,309.879760948,08/28/2021 12:00:00 AM,,"MULTILINESTRING ((962119.8470699638 168433.14513897896, 961937.8136413842 168182.3677533865))"
7,"Public School 48, The Mapleton School",11269,Brooklyn,61 STREET,18th AVENUE,19th AVENUE,approvedFull,"mon,tue,wed,thu,fri",10:00,13:00,10:00,13:00,10:00,13:00,10:00,13:00,10:00,13:00,,,,,2021-10-15T00:00:00,764.348611293,06/27/2022 12:00:00 AM,yes,"MULTILINESTRING ((987622.2675217241 165685.15522813797, 988221.2495914698 165210.34023289382))"
8,Bay Ridge Prep School,9303,Brooklyn,RIDGE BOULEVARD,81st STREET,82nd STREET,approvedFull,"mon,tue,wed,thu,fri",08:30,15:00,08:30,15:00,08:30,15:00,08:30,15:00,08:30,15:00,,,,,2021-09-06T00:00:00,278.62681703,06/30/2022 12:00:00 AM,,"MULTILINESTRING ((975295.7843007147 167983.74315063655, 975212.8681279719 167717.73974564672))"
9,Bay Ridge 5th Avenue BID,9429,Brooklyn,5 AVENUE,82 STREET,84 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,278.411929139,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((977296.4896168858 166470.72747589648, 977213.8221313059 166204.8717083931))"
10,Bay Ridge 5th Avenue BID,9430,Brooklyn,5 AVENUE,82 STREET,84 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,278.986031572,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((977378.9891238064 166737.23645730317, 977296.4896168858 166470.72747589648))"
11,Bay Ridge 5th Avenue BID,9435,Brooklyn,5 AVENUE,78 STREET,80 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,280.114665224,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((977628.2471554726 167536.39857289195, 977544.8582146317 167268.98408147693))"
